term,draw_time,front_1,front_2,front_3,front_4,front_5,back_1,back_2,pool_balance_after_draw,pool_balance,total_sale_amount,flow_fund,equipment_count,pdf_url,prize_1_count,prize_1_amount,prize_1_total,prize_1_extra_count,prize_1_extra_amount,prize_1_extra_total,prize_2_count,prize_2_amount,prize_2_total,prize_2_extra_count,prize_2_extra_amount,prize_2_extra_total,prize_3_count,prize_3_amount,prize_3_total,prize_4_count,prize_4_amount,prize_4_total,prize_5_count,prize_5_amount,prize_5_total,prize_6_count,prize_6_amount,prize_6_total,prize_7_count,prize_7_amount,prize_7_total
16073,2016-06-25,07,14,17,24,27,08,10,0,0,,,3,https://pdf.sporttery.cn/33800/16073/16073.pdf,9,"6,617,923","59,561,307",3,"3,970,753","11,912,259",216,"35,457","7,658,712",88,"21,274","1,872,112","1,261","2,350","2,963,350","34,119",200,"6,823,800","603,439",10,"6,034,390","5,406,014",5,"27,030,070",,,
16074,2016-06-27,01,05,07,11,14,03,08,0,0,,,2,https://pdf.sporttery.cn/33800/16074/16074.pdf,0,---,0,0,---,0,29,"308,116","8,935,364",5,"184,869","924,345",496,"6,273","3,111,408","20,538",200,"4,107,600","401,578",10,"4,015,780","4,317,133",5,"21,585,665",,,
16075,2016-06-29,03,07,17,22,31,08,12,0,0,,,2,https://pdf.sporttery.cn/33800/16075/16075.pdf,4,"9,256,229","37,024,916",1,"5,553,737","5,553,737",54,"163,291","8,817,714",19,"97,974","1,861,506",464,"7,237","3,357,968","18,761",200,"3,752,200","363,179",10,"3,631,790","3,703,774",5,"18,518,870",,,
16076,2016-07-02,03,08,10,17,31,05,06,0,0,,,3,https://pdf.sporttery.cn/33800/16076/16076.pdf,4,"9,767,946","39,071,784",0,---,0,51,"173,379","8,842,329",15,"104,027","1,560,405",660,"4,698","3,100,680","26,146",200,"5,229,200","498,818",10,"4,988,180","5,240,648",5,"26,203,240",,,
16077,2016-07-04,09,11,14,16,35,02,05,0,0,,,3,https://pdf.sporttery.cn/33800/16077/16077.pdf,1,"10,000,000","10,000,000",0,---,0,24,"362,071","8,689,704",5,"217,242","1,086,210",365,"8,570","3,128,050","19,200",200,"3,840,000","414,325",10,"4,143,250","4,354,167",5,"21,770,835",,,
16078,2016-07-06,07,18,29,31,35,05,11,"3,316,339,129.30",0,"176,031,216",,2,https://pdf.sporttery.cn/33800/16078/16078.pdf,1,"10,000,000","10,000,000",1,"6,000,000","6,000,000",48,"150,604","7,228,992",31,"90,362","2,801,222",483,"6,667","3,220,161","21,419",200,"4,283,800","410,658",10,"4,106,580","4,105,467",5,"20,527,335",,,
16079,2016-07-09,07,14,15,20,27,05,10,"3,335,784,172.26",0,"192,640,889",,3,https://pdf.sporttery.cn/33800/16079/16079.pdf,2,"10,000,000","20,000,000",1,"6,000,000","6,000,000",61,"145,812","8,894,532",23,"87,487","2,012,201",705,"4,858","3,424,890","24,520",200,"4,904,000","475,187",10,"4,751,870","4,457,174",5,"22,285,870",,,
16080,2016-07-11,15,20,29,30,33,07,12,"3,336,763,346",0,"173,241,722",,3,https://pdf.sporttery.cn/33800/16080/16080.pdf,4,"9,120,909","36,483,636",0,---,0,54,"133,795","7,224,930",22,"80,277","1,766,094",792,"3,472","2,749,824","29,716",200,"5,943,200","474,407",10,"4,744,070","4,453,326",5,"22,266,630",,,
16081,2016-07-13,06,07,18,21,33,03,08,"3,364,881,401.67",0,"171,324,058",,1,https://pdf.sporttery.cn/33800/16081/16081.pdf,1,"10,000,000","10,000,000",0,---,0,75,"94,118","7,058,850",37,"56,470","2,089,390",520,"5,367","2,790,840","24,496",200,"4,899,200","434,494",10,"4,344,940","4,419,139",5,"22,095,695",,,
16082,2016-07-16,03,08,23,28,29,02,07,"3,354,316,977.49",0,"189,939,641",,2,https://pdf.sporttery.cn/33800/16082/16082.pdf,6,"7,670,901","46,025,406",1,"4,602,540","4,602,540",76,"102,289","7,773,964",30,"61,373","1,841,190",806,"3,867","3,116,802","33,069",200,"6,613,800","549,051",10,"5,490,510","5,043,903",5,"25,219,515",,,
