term,draw_time,draw_result,front_numbers,back_numbers
26073,2026-06-29 21:15:00,"01,03,06,16,25,27,29|09","['01', '03', '06', '16', '25', '27', '29']",['09']
26072,2026-06-26 21:15:00,"14,16,17,24,25,27,28|09","['14', '16', '17', '24', '25', '27', '28']",['09']
26071,2026-06-24 21:15:00,"10,12,14,20,25,26,30|21","['10', '12', '14', '20', '25', '26', '30']",['21']
26070,2026-06-22 21:15:00,"02,04,07,08,14,24,27|16","['02', '04', '07', '08', '14', '24', '27']",['16']
26069,2026-06-19 21:15:00,"03,04,12,14,15,27,30|28","['03', '04', '12', '14', '15', '27', '30']",['28']
26068,2026-06-17 21:15:00,"06,07,12,13,22,25,26|27","['06', '07', '12', '13', '22', '25', '26']",['27']
26067,2026-06-15 21:15:00,"02,05,15,17,23,25,30|16","['02', '05', '15', '17', '23', '25', '30']",['16']
26066,2026-06-12 21:15:00,"10,11,12,13,14,15,17|06","['10', '11', '12', '13', '14', '15', '17']",['06']
26065,2026-06-10 21:15:00,"04,09,17,18,24,27,29|05","['04', '09', '17', '18', '24', '27', '29']",['05']
26064,2026-06-08 21:15:00,"04,06,10,13,16,18,26|27","['04', '06', '10', '13', '16', '18', '26']",['27']
26063,2026-06-05 21:15:00,"03,07,08,11,14,21,30|19","['03', '07', '08', '11', '14', '21', '30']",['19']
26062,2026-06-03 21:15:00,"02,07,24,25,27,29,30|16","['02', '07', '24', '25', '27', '29', '30']",['16']
26061,2026-06-01 21:15:00,"10,16,18,19,20,25,27|26","['10', '16', '18', '19', '20', '25', '27']",['26']
26060,2026-05-29 21:15:00,"02,09,16,19,22,28,29|03","['02', '09', '16', '19', '22', '28', '29']",['03']
26059,2026-05-27 21:15:00,"07,08,09,17,26,28,30|11","['07', '08', '09', '17', '26', '28', '30']",['11']
26058,2026-05-25 21:15:00,"06,09,10,14,16,18,30|12","['06', '09', '10', '14', '16', '18', '30']",['12']
26057,2026-05-22 21:15:00,"05,08,14,15,18,22,27|11","['05', '08', '14', '15', '18', '22', '27']",['11']
26056,2026-05-20 21:15:00,"02,03,04,08,12,15,26|22","['02', '03', '04', '08', '12', '15', '26']",['22']
